timestamp,temperature,humidity,occupancy,renewable,hvac_status,lighting_status,hour,day_of_week,month,day_of_month,is_weekend,is_business_hour,consumption
2022-01-01 00:00:00,25.1394334377269,43.43158120480281,5,2.774698791658742,1,0,0,5,1,1,1,0,75.36437339539214
2022-01-01 01:00:00,27.731650520792968,54.225918580233085,1,21.831384152500608,1,1,1,5,1,1,1,0,83.40185495035139
2022-01-01 02:00:00,28.704276857248125,58.907657743033184,2,6.76467168191291,0,0,2,5,1,1,1,0,78.27088774061066
2022-01-01 03:00:00,20.080469485298178,50.3716371457499,1,8.623446893471096,0,1,3,5,1,1,1,0,56.51985048548002
2022-01-01 04:00:00,23.09735925505204,51.40142134361278,9,3.0719692157166323,1,0,4,5,1,1,1,0,70.81173246793318
2022-01-01 05:00:00,29.576037393658908,36.82426323380886,6,17.62668982389795,0,0,5,5,1,1,1,0,84.32188519433718
2022-01-01 06:00:00,25.13116712267887,35.70962155267958,6,24.26470232698351,1,0,6,5,1,1,1,0,76.16579090213895
2022-01-01 07:00:00,23.182844248720983,31.67991978011051,8,27.51709925003732,0,0,7,5,1,1,1,0,74.1319061773031
2022-01-01 08:00:00,25.39199937425648,46.399364049557406,6,2.3075954692088576,1,0,8,5,1,1,1,1,78.20623587095885
2022-01-01 09:00:00,22.2125494242776,32.41846388370173,1,29.140070981014404,1,0,9,5,1,1,1,1,77.99221370196022
2022-01-01 10:00:00,28.0648135792427,36.45147178564109,2,0.3522383966403897,0,0,10,5,1,1,1,1,82.27443448386548
2022-01-01 11:00:00,23.422546256146845,30.527342157466457,6,19.529548154656723,1,1,11,5,1,1,1,1,73.27866950427382
2022-01-01 12:00:00,25.388888490671448,47.60101803425757,1,21.79744359722318,1,0,12,5,1,1,1,1,84.14477565753458
2022-01-01 13:00:00,20.058737855510586,41.861641594454376,2,6.384949152471242,0,0,13,5,1,1,1,1,60.0225185622203
2022-01-01 14:00:00,26.731524781805252,37.29787044961106,6,12.074223142216765,0,0,14,5,1,1,1,1,81.18318756246354
2022-01-01 15:00:00,22.10024262178738,56.09917871988325,8,10.900770033732996,0,1,15,5,1,1,1,1,74.081256288494
2022-01-01 16:00:00,29.32557592878712,56.95417356701815,0,15.453999472973807,1,1,16,5,1,1,1,1,89.4982076601557
2022-01-01 17:00:00,23.74244749481492,42.24584548342733,1,3.940678287777141,1,0,17,5,1,1,1,1,72.87244263642421
2022-01-01 18:00:00,27.524189220859466,47.17242967942455,9,19.68895830922032,1,0,18,5,1,1,1,1,83.8998965998896
2022-01-01 19:00:00,27.63139001845522,36.14029374467184,4,8.848082816473534,1,1,19,5,1,1,1,0,82.07757940317406
2022-01-01 20:00:00,28.7049945527175,59.931894786121376,9,11.703977742489942,1,1,20,5,1,1,1,0,94.236287728335
2022-01-01 21:00:00,21.10111178256601,30.41800645418693,3,14.51720370832993,0,0,21,5,1,1,1,0,59.672380432970826
2022-01-01 22:00:00,23.00091980393784,43.63838293291814,1,4.302844586055179,0,0,22,5,1,1,1,0,70.23522761734993
2022-01-01 23:00:00,24.74905765950469,57.216848654263046,6,0.6603375462558703,1,1,23,5,1,1,1,0,78.39420777459377
2022-01-02 00:00:00,26.729367191665855,46.19408776943607,8,18.5810340057255,1,0,0,6,1,2,1,0,87.84164465666763
2022-01-02 01:00:00,22.575924329206178,57.7495719227239,8,8.906945509097325,0,1,1,6,1,2,1,0,72.92984426206768
2022-01-02 02:00:00,27.011513197244877,52.637571884657305,9,24.051355077458528,1,1,2,6,1,2,1,0,86.66909405376278
2022-01-02 03:00:00,26.570000593742623,43.330311963375614,7,2.9434034323461225,0,1,3,6,1,2,1,0,80.41142775984329
2022-01-02 04:00:00,21.820077577118944,56.855188125958406,3,25.513774644213942,0,1,4,6,1,2,1,0,64.21209800102363
2022-01-02 05:00:00,23.220629928291007,46.07387943210247,2,18.270528189168942,0,1,5,6,1,2,1,0,74.16033755004982
2022-01-02 06:00:00,28.875374569208283,31.803130453234026,5,24.46883621156326,1,1,6,6,1,2,1,0,81.04958057295511
2022-01-02 07:00:00,20.833491610497568,51.14700701801437,1,21.865100350797228,1,0,7,6,1,2,1,0,70.30817192579988
2022-01-02 08:00:00,27.46564120140408,34.9409910367269,9,4.6457386056945404,1,0,8,6,1,2,1,1,82.28439185280472
2022-01-02 09:00:00,20.623500489834765,50.14503354220139,6,0.3722012648189066,0,1,9,6,1,2,1,1,59.847392688307885
2022-01-02 10:00:00,27.31481126572729,42.93605505297437,4,1.1813311411593264,1,0,10,6,1,2,1,1,82.50403686398842
2022-01-02 11:00:00,27.42511354993544,32.394788065588216,9,8.166146956672918,1,0,11,6,1,2,1,1,82.78244589126273
2022-01-02 12:00:00,24.07915813451661,54.09504887445641,7,21.06081425541792,0,0,12,6,1,2,1,1,74.67411328167944
2022-01-02 13:00:00,29.91382998898481,53.34075278909026,0,25.84805422710293,1,0,13,6,1,2,1,1,86.88913818269737
2022-01-02 14:00:00,24.52137298758392,42.27647348582312,7,1.6471723322743026,1,0,14,6,1,2,1,1,78.54242641942929
2022-01-02 15:00:00,21.89878543127921,48.63351462602176,4,20.21773265658062,1,1,15,6,1,2,1,1,77.22845715853467
2022-01-02 16:00:00,23.516264720993824,52.37155796010059,7,8.270639173483916,1,0,16,6,1,2,1,1,73.73515145603137
2022-01-02 17:00:00,27.1481166642526,43.12086624044412,8,16.99702392488144,1,0,17,6,1,2,1,1,91.84340824868656
2022-01-02 18:00:00,23.574353632517656,52.85166419960819,2,24.46090952239937,0,0,18,6,1,2,1,1,73.35070513237227
2022-01-02 19:00:00,20.51618553995076,40.918499706064985,8,20.489097790934643,0,1,19,6,1,2,1,0,66.20209750906106
2022-01-02 20:00:00,23.159190043519654,33.08814922387616,6,15.654792218150218,0,1,20,6,1,2,1,0,77.85177634998958
